URL,BGM title,Game
https://www.youtube.com/watch?v=Mcz3yZSUVI8,Main Theme,Genshin Impact
https://www.youtube.com/watch?v=Ng481x85lc8,The Wind Catcher from a Foreign Land,Genshin Impact
https://www.youtube.com/watch?v=fWiDmzQAbHA,Liyue Main Theme,Genshin Impact
https://www.youtube.com/watch?v=cPWBG6_jn4Y,Theme,The Legend of Zelda Breath of the Wild
https://www.youtube.com/watch?v=FKLHDgbTD0k,Main Theme,The Legend of Zelda Tears of the Kingdom
https://www.youtube.com/watch?v=t_lT6oXSlxI,Main Theme,The Legend of Zelda Echoes of Wisdom
https://www.youtube.com/watch?v=T6CK7ctyDz4,Main Theme,The Legend of Zeld Tri Force Heroes
https://www.youtube.com/watch?v=jdh5acFqg4g,Main Theme,Black Myt Wukong
https://www.youtube.com/watch?v=w_13U6FrK4U,Celestial Symphony,Black Myt Wukong
https://www.youtube.com/watch?v=SCJwkyQccg8,The Beauty of Nature (Main Theme),Monster Hunter Wilds
https://www.youtube.com/watch?v=Y7GutIggcTw,Main Menu Theme,Monster Hunter Rise
https://www.youtube.com/watch?v=ch6I15iBliE,Main Theme,Dark Souls III
https://www.youtube.com/watch?v=6Q7s-bY-PPE,Main Theme,Dark Souls II
https://www.youtube.com/watch?v=to90vjaAl2k,Prologue,Dark Souls
https://www.youtube.com/watch?v=_8ogSujz4yw,Main Theme,Nie Automata
https://www.youtube.com/watch?v=gnUPKPM9I4U,Fukusei-sareta Machi,Nie Automata
https://www.youtube.com/watch?v=J2RjlTxDdtw,GARAGE Main Menu,Devil May Cry 5
https://www.youtube.com/watch?v=ce6yc-6895s,Prologue,Devil May Cry 5
https://www.youtube.com/watch?v=xSjgu5UPPYA,Introduction,Devil May Cry 5
https://www.youtube.com/watch?v=WgnL91uR56A,Main Theme,Black Desert
https://www.youtube.com/watch?v=uA9HMrG0__E,Login Screen Music,Black Desert
https://www.youtube.com/watch?v=0q2AYrqgoqs,The People's Cry (Main Theme),Avata Frontiers of Pandora
https://www.youtube.com/watch?v=3WvOZt0iA_A,Take Flight,Avata Frontiers of Pandora
https://www.youtube.com/watch?v=F1NAqMOWbUE,Wild Sky,Avata Frontiers of Pandora
https://www.youtube.com/watch?v=ZU_w0TxKe0I,City of Jerusalem,Assassins Creed
https://www.youtube.com/watch?v=-6WjOKqnszo,Bloodlines,Assassins Creed Syndicate
https://www.youtube.com/watch?v=lTBCrrhnvO8,Unity,Assassins Creed Unity
https://www.youtube.com/watch?v=T_OMCd4s0S8,Rainbow Summer,Atelier Ryz Ever Darkness and the Secret Hideout
https://www.youtube.com/watch?v=c5sNriKoU34,Okay, Let's Go from One Summer's Adventure~,Atelier Ryz Ever Darkness and the Secret Hideout
https://www.youtube.com/watch?v=zhrNjrpadOs,Main Menu Theme,Sekiro Shadows Die Twice
https://www.youtube.com/watch?v=Yv6Dg1zIKiA,The Owl,Sekiro Shadows Die Twice
https://www.youtube.com/watch?v=enL4x86nWgY,Genichiro Ashina,Sekiro Shadows Die Twice
https://www.youtube.com/watch?v=eqB-DlAsctQ,Main Theme of Palworld,Palworld
https://www.youtube.com/watch?v=snE-WlCPA-o,Engraved in Myth,Palworld
https://www.youtube.com/watch?v=4VS3wh49Avw,The Beginning,Palworld
https://www.youtube.com/watch?v=x23I8f9PwlI,Day,Terraria
https://www.youtube.com/watch?v=WvrciA9TTTw,Ice,Terraria
https://www.youtube.com/watch?v=7wp1xknPA5A,Mushrooms,Terraria
https://www.youtube.com/watch?v=c-OttnZEXZo,Underground,Terraria
https://www.youtube.com/watch?v=ZfGqwHDK2Uw,Main Theme (Final Boss),Elden Ring
https://www.youtube.com/watch?v=dJgfJL7-GC4,Opening,Elden Ring
https://www.youtube.com/watch?v=i80IgeirAik,The House Cup - J Scott Rakozy,Hogwarts Legacy
https://www.youtube.com/watch?v=eCyMy9ZStnM,Overture to the Unwritten,Hogwarts Legacy
https://www.youtube.com/watch?v=TCVvT5TrM3M,Inside the Wall,Stray
https://www.youtube.com/watch?v=PxqvCZlEpac,Raft,Stray
https://www.youtube.com/watch?v=axMhxyvlJcc,Roberto Is Out,Stray
https://www.youtube.com/watch?v=EBhFHJMVfiI,Undertale,Undertale
https://www.youtube.com/watch?v=5P8V4mP5RLg,Last Goodbye,Undertale
https://www.youtube.com/watch?v=vyCYA4iC_Wo,I'm Here,Sonic Frontiers
https://www.youtube.com/watch?v=3NoKAOTE_ZI,Undefeatable,Sonic Frontiers
https://www.youtube.com/watch?v=4gzIL8_G4Xs,Find Your Flame,Sonic Frontiers
https://www.youtube.com/watch?v=a925dm5smWU,Find the Flame,Final Fantasy XVI
https://www.youtube.com/watch?v=IM4nGQYXNy0,Main Theme,Final Fantasy XV
https://www.youtube.com/watch?v=juVZ0TN_2EA,Somnus,Final Fantasy XV
https://www.youtube.com/watch?v=hqErigwP78Y,Nine Sols,Nine Sols
https://www.youtube.com/watch?v=87ttCnCht_E,Main Theme II,Nine Sols
https://www.youtube.com/watch?v=otoeawwYhJ0,Main Theme I,Nine Sols